,user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address
81187,210975,2015-05-15 09:23:43,2015-05-29 07:22:14,41,PFWKTBENYNZAE,SEO,Chrome,M,31,3955637243.6944
5320,102771,2015-01-15 07:24:37,2015-03-08 10:33:25,42,FTJREEYGHVVDB,SEO,Opera,F,27,1775562483.90895
111524,45803,2015-06-16 03:56:12,2015-09-01 20:46:28,46,VGIVHPMVHXNWK,SEO,FireFox,M,35,4228013963.96339
88103,43487,2015-03-12 14:04:09,2015-07-09 14:44:47,42,GUDDSGPDKKXVL,Direct,FireFox,F,22,36526484.6260782
47913,46278,2015-05-10 02:58:51,2015-08-15 23:31:49,13,SZVLRKCCDWICI,SEO,Safari,F,30,2259231516.25541
12634,238118,2015-04-19 13:39:07,2015-06-26 19:45:41,51,VYBMAABTSKJVG,SEO,FireFox,F,48,678181255.4376969
120867,162863,2015-07-24 00:19:23,2015-08-16 00:40:21,58,UAMOGHQSAVYXH,SEO,Chrome,F,40,4124470706.7561398
49464,51474,2015-04-16 21:47:24,2015-05-30 17:27:20,19,RCGTTTWTRETCP,Direct,Safari,M,28,4266254369.9965796
133872,25573,2015-03-26 14:26:14,2015-06-16 09:53:11,34,AOZBICBICCQAR,SEO,IE,F,32,2834671555.3707
33238,198308,2015-07-10 07:35:26,2015-09-26 12:55:03,39,UGSLLQYELFKOA,SEO,Chrome,M,39,631600387.810543
24791,176627,2015-05-19 06:08:53,2015-06-19 09:50:13,48,MVKLFJIRZTSSE,Ads,Chrome,F,50,1789677965.1678698
147401,349423,2015-05-10 03:10:15,2015-06-16 06:02:08,26,XVRTHKOBDLIQP,Direct,FireFox,M,34,1139512641.8436198
12506,67734,2015-03-14 02:50:18,2015-05-23 16:50:40,11,BOCZQIVUEISMY,Direct,Chrome,F,42,3263953151.74166
5467,265057,2015-03-15 04:27:53,2015-04-28 14:12:15,18,QOFGABMKWXRJN,Ads,FireFox,M,40,3018639907.62468
2765,334977,2015-05-27 16:56:02,2015-07-27 04:36:49,68,APFUUJYTUJWZI,Ads,FireFox,F,40,166962369.755298
123801,222993,2015-03-28 16:00:23,2015-04-13 09:08:37,29,BOPGAFEFFRKUS,Ads,FireFox,F,21,419289115.495674
133323,198167,2015-02-06 22:05:44,2015-05-23 09:04:48,21,DVTCTSVPIDAOM,Direct,Chrome,F,21,3364178184.341161
81113,332219,2015-07-17 14:39:12,2015-09-05 01:49:37,9,NAOYARZPOEIPI,SEO,IE,F,29,2455604612.34133
105571,396408,2015-01-26 06:57:12,2015-05-22 23:16:29,73,SXAMMKATVQWDA,Ads,Chrome,F,20,4142289373.06125
31966,192993,2015-07-07 13:31:25,2015-07-18 15:53:59,14,PCMDGSIUOXTJC,Ads,Safari,M,25,2114051157.02008
39051,259937,2015-06-04 10:00:23,2015-07-10 23:32:54,26,VPUTCTHTJUYFB,Ads,IE,M,29,1454636731.5977302
94571,46027,2015-01-20 22:42:47,2015-01-25 06:20:33,32,TZYOZQAXCGRBR,Direct,FireFox,M,47,3617686228.2909694
123753,218717,2015-07-12 08:08:31,2015-10-03 17:20:59,58,WSJPKMUFHMGVT,Ads,Chrome,F,35,2550876520.13111
149685,94257,2015-02-23 04:33:09,2015-06-17 14:05:44,28,TUNQYYPSGBKRS,Direct,FireFox,F,32,4228436842.1374
127316,283011,2015-01-31 17:02:16,2015-04-30 08:37:58,36,XPPAUHREDUOPO,Direct,IE,M,19,847769647.0200138
141918,272741,2015-07-13 05:40:55,2015-10-30 18:30:48,60,VJUHMQHWWGNAQ,SEO,Chrome,M,25,992825796.785747
57976,266756,2015-02-21 23:59:26,2015-05-11 18:51:41,9,FSLYEGBGAZTXY,Ads,Safari,F,28,3852450398.11825
61372,55857,2015-03-11 05:46:09,2015-05-25 20:44:59,28,HIGGYIQOQVXHI,Ads,IE,F,50,625448222.2510389
32687,157331,2015-07-02 20:41:58,2015-09-21 00:06:39,49,JSVORKRWYBWJN,SEO,Safari,M,37,3145977245.28476
54300,238114,2015-06-22 04:25:06,2015-09-19 18:12:56,56,LBHZJFAOEALXP,SEO,Chrome,F,32,373582028.506213
84975,154807,2015-08-08 22:36:19,2015-10-29 03:30:47,30,MLCPZNBBZFSSB,Ads,IE,F,35,2002988356.1125398
129016,326594,2015-04-23 00:47:43,2015-06-04 09:46:46,61,YPEZHQURHXHDE,Ads,FireFox,M,19,4101136308.98682
