user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address
181845,2015-07-03 16:36:19,2015-08-02 01:36:36,32,USCGQNXTNRYFN,Ads,Chrome,F,34,3811442496.2304797
224224,2015-07-31 20:33:21,2015-08-09 16:03:14,29,HOPKJRSPFGSSS,Ads,Chrome,F,37,447126553.29449296
270753,2015-06-16 22:03:05,2015-06-18 07:00:43,24,UPCEXFTIKIQDV,SEO,Opera,M,26,2863428653.15902
21526,2015-03-12 07:33:34,2015-06-08 14:23:46,11,UACFFPMQFTEAD,Ads,Chrome,M,39,734947575.425663
138451,2015-03-25 17:50:55,2015-03-28 17:54:59,42,VEABAMLAHRSJW,SEO,Chrome,M,38,3737606992.7873397
388580,2015-06-12 09:53:28,2015-07-19 16:04:29,52,WTBKFVPUJZLPB,Ads,Chrome,M,28,1381141000.4165
100736,2015-01-12 16:55:33,2015-03-12 10:44:26,33,OHRCOEDJVLKVC,Ads,Chrome,F,48,1639946632.61836
376666,2015-01-09 17:24:12,2015-01-09 17:24:13,70,YFGAMOTZYMPLR,Direct,Chrome,M,31,4154109666.2434297
294668,2015-04-05 06:51:12,2015-04-29 13:23:21,43,JXAXZFYMYZEFR,Ads,IE,M,50,1386819572.3464801
278361,2015-05-01 03:21:17,2015-05-31 12:40:37,40,JMAMXUUYCDVQT,Direct,FireFox,F,30,646969529.148548
265388,2015-07-07 04:08:53,2015-09-09 14:24:43,33,PMGNEQVRILURF,Ads,FireFox,M,35,3159216196.66343
379046,2015-04-27 08:03:13,2015-08-06 09:03:24,42,UDWVBCQYJLGQB,SEO,FireFox,M,37,3204250987.36965
102547,2015-05-21 07:12:32,2015-06-30 21:15:05,15,YMLSKBLFEUGBZ,Ads,Chrome,M,50,3185348127.54041
199100,2015-06-21 04:46:18,2015-07-06 08:00:26,43,XSBTWQTPEQJJM,Ads,Chrome,M,37,3147146253.23241
328378,2015-04-09 02:32:50,2015-06-10 02:09:49,74,WPLKBTQLGPGML,Direct,FireFox,F,33,527052432.53582
287791,2015-02-13 15:14:07,2015-06-11 15:14:03,53,LZGNQHGEGRAUI,Direct,Chrome,F,32,3207111462.08147
208993,2015-02-23 17:03:28,2015-04-23 04:50:39,38,QTBGOGEMWBPPQ,Direct,Safari,M,40,1901670451.9907
302437,2015-06-18 23:17:56,2015-06-24 22:02:51,64,UQGOJCFKVXRZV,Direct,Chrome,F,27,3184464703.70398
328312,2015-07-18 07:11:35,2015-09-01 05:16:13,31,TWDKMJOLUERWZ,SEO,IE,F,46,60214633.6101469
379459,2015-03-28 02:08:15,2015-04-14 01:37:52,65,NWQXRTYTWFNHB,SEO,Chrome,F,41,1458901240.39838
381788,2015-01-08 03:13:19,2015-04-06 19:04:59,47,VKZVIHLJLHNQX,Ads,FireFox,M,45,3080260174.87862
296382,2015-02-18 20:25:27,2015-05-03 14:13:37,39,MOPRNXFESSKNV,SEO,Safari,F,35,1062770586.9194599
331495,2015-07-30 15:22:11,2015-09-11 23:31:34,61,RWWPKHVKEMFLP,Ads,FireFox,M,23,1583988162.31896
302177,2015-03-14 00:08:47,2015-06-04 01:30:58,28,CLKFRDSIVANUG,Ads,IE,M,39,2025694407.48428
285112,2015-07-22 21:35:39,2015-09-27 07:28:40,22,ZDUGGUACXMORJ,Ads,IE,M,26,664253657.017282
46206,2015-03-12 01:00:49,2015-04-23 22:17:34,44,RREVGPBGRCGDI,Direct,Chrome,F,24,413966630.777017
349900,2015-03-18 06:08:41,2015-03-18 22:30:24,12,AIXAKVACFFQDK,SEO,Chrome,F,38,1414048880.93225
65521,2015-06-12 05:39:30,2015-07-07 00:27:18,36,HKASMUNWAVFAZ,Ads,IE,M,28,2794557334.01515
350324,2015-02-22 04:36:14,2015-04-15 14:27:52,40,MBWBUYHRNOIHH,SEO,Chrome,M,32,2022090529.32735
67559,2015-07-13 14:57:07,2015-10-05 11:09:27,41,HMECQGASEXKIO,Ads,Safari,F,33,323425350.902034
337729,2015-04-30 02:53:24,2015-08-12 06:31:04,26,ZFKRLSVZMYAFZ,Direct,Chrome,F,27,3523954459.9935
98824,2015-03-07 23:18:40,2015-06-30 05:46:23,23,LREAKRRQKWNPD,Direct,Chrome,F,24,2637586913.76228
45315,2015-02-16 20:38:19,2015-04-28 21:49:11,57,SAEBRFFAYFWJW,Ads,Chrome,F,23,3159228766.04438
227249,2015-03-07 03:52:19,2015-04-28 09:48:15,26,IICUUHAFMLSWA,Ads,FireFox,M,30,531949778.435128
119695,2015-01-27 10:52:02,2015-05-07 10:13:42,30,XTCHANMPZUFXQ,Direct,Safari,M,34,1061639263.05735
38814,2015-07-06 04:24:34,2015-10-25 09:22:15,50,KJZHIOBKDMTNR,Direct,FireFox,F,21,1265756652.58247
367220,2015-03-04 09:17:54,2015-06-10 01:53:54,11,SRBMEOVZLFECJ,Ads,IE,F,48,3416802992.26936
62200,2015-04-30 08:26:53,2015-06-02 21:48:46,29,BGAXTMGSECAMK,Ads,Chrome,M,35,2272861022.74817
278241,2015-05-16 22:15:40,2015-06-21 03:38:48,28,GXCUKMYENHGWU,Ads,Safari,F,31,1410860744.95408
394851,2015-01-25 17:40:08,2015-04-06 10:20:45,60,EPZSKICUOFQDP,Ads,Safari,F,21,3645035521.1986704
97322,2015-03-24 07:07:30,2015-07-16 11:16:18,66,XOLHFGMSBPZWX,Ads,Chrome,F,31,4104267392.92519
234928,2015-06-25 15:49:07,2015-09-26 05:47:33,74,MVFPOEBYXXZRG,Direct,Chrome,F,51,1391027825.42646
383913,2015-08-11 07:32:10,2015-10-26 07:31:01,19,MUSIWRPXNGJHM,Direct,FireFox,M,48,2336447797.05958
363753,2015-07-14 18:21:06,2015-08-13 20:50:11,25,MNRERHGUYIYLD,Ads,IE,M,26,219396199.073706
271296,2015-04-17 01:39:29,2015-05-18 20:51:23,34,THWRGBVGBCXUN,Ads,IE,F,24,3532647220.63002
11828,2015-02-28 18:48:24,2015-06-17 15:06:59,19,AWQUNWYXZHMSP,Direct,Opera,M,27,118252598.170346
342977,2015-04-21 16:16:57,2015-05-23 01:06:39,14,BBXPRIKACYEGD,Ads,IE,F,20,3143457468.4096
134959,2015-07-28 14:46:26,2015-11-11 17:59:16,37,MELFKPPRMJVSN,Ads,Chrome,M,42,1033955299.8476
41266,2015-07-04 06:58:02,2015-08-23 16:14:50,14,GMSJFJNAAZSWY,Direct,Chrome,M,51,938903595.322141
131299,2015-03-15 19:45:04,2015-03-26 13:29:27,43,CXUYQUBBLHLJL,Direct,FireFox,M,43,798787636.5602959
279916,2015-01-04 09:26:40,2015-03-25 02:13:48,46,VHWJMFMSAZULZ,SEO,IE,M,32,2241974182.33668
205270,2015-07-24 21:45:37,2015-10-20 14:28:07,40,YVOFPCWJWARCW,Ads,Safari,M,30,2457719239.22203
383794,2015-04-04 18:40:04,2015-06-30 05:05:33,40,OBXDQPVWBPUNO,SEO,IE,M,22,1665016690.18251
297701,2015-07-19 08:46:57,2015-11-12 02:28:44,32,IQWEDDHRWNUOZ,Ads,Chrome,M,18,3394604944.54195
267772,2015-04-26 18:42:15,2015-07-12 16:54:20,61,DXMWUANJKLRHS,Ads,Chrome,M,43,86067372.7036745
311866,2015-01-18 19:47:41,2015-04-11 18:38:22,28,LHYUIGYQQGVQV,Ads,Chrome,M,54,3025983580.52125
317291,2015-03-08 03:11:52,2015-03-30 20:39:49,12,HFGPKJBBZMPGA,Direct,Chrome,M,33,3635647876.55975
210600,2015-01-06 02:20:11,2015-01-06 02:20:12,9,ZXOFRFJTDLETI,Direct,Chrome,F,23,1907233418.73358
127890,2015-07-30 04:00:11,2015-09-09 13:09:25,52,IIXETTNHWLBZC,Ads,FireFox,F,27,3366116927.02855
130286,2015-07-30 12:54:49,2015-08-11 05:18:36,47,PVCAWZVNPTDDM,SEO,Chrome,M,38,576110339.5830232
347960,2015-07-14 11:57:47,2015-08-18 23:52:12,22,HGRHUTIZKRDUE,Direct,Chrome,F,39,530992816.2062349
1438,2015-07-08 11:07:21,2015-08-10 02:59:30,13,OMKFWOZTGRIJL,Direct,IE,F,24,3653894405.99595
266941,2015-06-12 07:08:54,2015-07-09 10:17:36,50,EXLBKJLXCMROV,SEO,Chrome,M,30,2007232980.0422
226196,2015-07-04 02:44:18,2015-09-01 22:09:14,28,ZJZLZULRDZIXA,Direct,Chrome,F,29,1453522381.84974
109192,2015-03-10 10:23:05,2015-05-21 23:39:49,15,ZBENLCVSABBNC,SEO,Chrome,M,29,195601846.302159
392745,2015-07-20 14:29:13,2015-08-11 13:46:57,22,DOQOHSMUSGCZH,SEO,Chrome,F,33,3753672190.01245
223864,2015-08-12 18:24:08,2015-11-19 11:35:49,61,STORGSCOBTXSR,Ads,IE,F,24,147359069.165934
135704,2015-07-25 07:59:24,2015-09-29 07:30:26,42,FDLYAEYFTJQUD,SEO,IE,M,48,3025924636.73798
195438,2015-05-13 08:02:39,2015-05-15 22:41:10,20,EATLUGRZFXAOV,SEO,IE,F,46,1978781592.9619398
313546,2015-07-05 10:53:03,2015-09-01 11:51:29,45,EMLEEPMPNKYAM,Ads,Chrome,M,36,3887566946.68139
298481,2015-01-22 16:29:09,2015-05-16 09:35:36,21,ZUHZTIZJTJMEZ,SEO,Opera,M,32,1345986681.4851
338959,2015-05-08 06:02:25,2015-06-02 10:26:49,10,DIKZYTXGHXNAE,Ads,FireFox,M,43,2324844295.33727
320836,2015-05-20 05:34:35,2015-07-14 19:05:09,52,OMROCWIQHIUPU,Direct,FireFox,M,47,1213304086.44999
127233,2015-05-07 03:00:57,2015-08-10 20:42:54,38,LBBMXUSOWXNWS,SEO,Chrome,M,35,311470019.72400296
384359,2015-07-25 16:46:03,2015-09-21 02:01:30,36,WRYHEVOGECRFF,Ads,Safari,M,40,4214789444.34538
58778,2015-01-03 15:25:04,2015-03-28 13:42:50,44,KGQFDJXSWFGKR,Ads,Safari,M,29,2873770165.23563
79232,2015-08-01 16:21:36,2015-11-25 18:33:50,52,LNEDSPGLUGKFC,SEO,Chrome,M,33,3074533663.55609
191832,2015-03-31 12:24:27,2015-07-16 06:41:32,27,EAMZMMONQHCPY,Ads,Chrome,F,24,2239993378.57193
164515,2015-04-12 12:42:19,2015-08-10 01:51:11,57,ZCHGRJDJCXVFX,SEO,Chrome,F,36,435689012.534817
265615,2015-01-04 13:37:02,2015-01-25 01:43:12,49,DQJSJSXZMJOFP,SEO,FireFox,F,36,362457600.720062
189511,2015-02-26 22:23:37,2015-03-11 08:29:13,15,OXKRMLMWLICEX,Ads,Chrome,M,44,56279301.7704922
299163,2015-03-06 08:21:44,2015-04-19 04:46:18,48,FWRZBSRYMTCVZ,SEO,IE,M,36,3054432340.9904
247203,2015-07-06 16:11:26,2015-07-14 14:01:04,26,UOQUPCEVBGGOI,SEO,Chrome,M,40,2219789741.81813
205341,2015-03-31 18:31:21,2015-06-29 19:57:01,34,KPLWGTSMKMJFZ,SEO,IE,F,39,2247886915.453
90,2015-04-21 09:41:16,2015-06-29 17:20:46,11,MNINTMJDZFGZS,SEO,Chrome,M,35,3098575920.6042
307118,2015-05-05 00:04:46,2015-07-09 09:55:47,31,KCPSQMHAKCRIE,SEO,Chrome,M,42,4152004521.1853104
144078,2015-01-27 19:29:42,2015-03-27 09:31:03,46,UEJBPQLMRRMDG,Direct,Chrome,M,41,300604270.918527
172649,2015-07-17 21:02:19,2015-10-31 19:17:37,36,QNSTISLXDWMDM,Direct,IE,F,41,4184957734.96724
364349,2015-05-21 13:06:43,2015-05-28 17:46:25,89,JTKADEEQFJZKQ,Ads,FireFox,M,27,3398522505.77216
94538,2015-01-11 09:33:01,2015-01-11 09:33:02,20,EBIXBHKGUHCZE,SEO,Chrome,F,18,3820047641.00664
170229,2015-05-22 08:18:32,2015-09-05 06:58:13,18,YPVJMVQTSXEVS,SEO,Safari,M,35,3707353140.02415
316826,2015-02-20 20:50:28,2015-05-03 15:10:52,52,GIYOSIQJHRLAP,Direct,Chrome,M,40,1451688670.59748
384052,2015-06-22 14:09:32,2015-09-08 12:24:38,38,PREEKSCHYCMVW,SEO,IE,M,39,758729903.8172691
189749,2015-01-01 11:51:26,2015-02-12 17:13:39,21,ERYEHPCHLLWQW,SEO,Chrome,M,33,81299027.11513779
25733,2015-07-19 16:05:05,2015-08-12 18:24:44,58,MVQJAWFKEOSYJ,Ads,Chrome,M,45,4035565059.67642
317792,2015-05-31 09:59:55,2015-09-07 07:47:15,20,BFSVESNIHIPUR,Direct,Chrome,F,28,2911348011.87535
70607,2015-05-23 16:55:56,2015-06-02 13:50:41,55,MCCVRETLHYEXF,Ads,Chrome,F,36,174054725.809124
300246,2015-01-11 05:15:21,2015-01-11 05:15:22,44,AJBIJPIXVZKJE,Direct,Chrome,M,27,1980120298.1950893
116039,2015-04-20 22:59:47,2015-06-01 11:58:37,38,WMFUIZFMKOIVF,Direct,FireFox,M,27,3444202549.68113
357274,2015-05-04 14:07:21,2015-07-11 12:47:39,18,GEQMUJZCCRJXJ,Direct,IE,M,29,1316192866.63369
281887,2015-05-08 13:57:17,2015-06-12 01:27:43,57,RCBTDNHTCBBGQ,Ads,IE,M,40,728982608.045767
370108,2015-01-06 20:27:23,2015-01-06 20:27:24,17,NCUWVRMYVADYO,SEO,FireFox,F,23,827675866.499895
